ReducedAccount.,Account,AccountDescription,Date,Historic,CP,Batch,Debit,Credit,DayOfWeek,Month,Year,TransactionAmount,Anomaly,AnomalyScore
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2022-05-02,Vlr. Ref. Amortizao Sistemas Aplicativos - Software,739.0,41564.0,0.0,20720.64,0,5,2022,20720.64,-1,-0.021510977169492684
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2022-05-02,Vlr. Ref. Amortizao Direito De Uso,739.0,41564.0,0.0,12838.79,0,5,2022,12838.79,-1,-0.012795051469084884
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2022-05-02,Vlr. Ref. Amortizao Sistemas Aplicativos - Software,739.0,41564.0,14.98,0.0,0,5,2022,-14.98,-1,-0.006193578098241614
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2023-01-02,Vlr. Ref. Amortizao Sistemas Aplicativos - Software,739.0,43201.0,0.0,17302.88,0,1,2023,17302.88,-1,-0.178239772743377
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2023-01-02,Vlr. Ref. Amortizao Direito De Uso,739.0,43201.0,0.0,12838.79,0,1,2023,12838.79,-1,-0.17504941560008935
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2023-01-02,Vlr. Ref. Amortizao Direito De Uso,739.0,43201.0,3993.86,0.0,0,1,2023,-3993.86,-1,-0.16948568128321517
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2023-01-02,Vlr. Ref. Amortizao Sistemas Aplicativos - Software,739.0,43201.0,14.98,0.0,0,1,2023,-14.98,-1,-0.16263842639125747
"1234|1.03.04.001.0001|Maquinas e Equipamentos - FINEP|44858|Vlr.Ref.Baixa Do Imobilizado Aparelho De Ar Condicionado De 22.000 Btu/H, Mod. Split Hi Wall (220V; Frio/Quente;Com Controle Remoto), Marca Springer Carrier + Instalao + Teste De Desempenho.|2381|42808|0|2930",,,1900-01-01,,,,0.0,0.0,0,1,1900,0.0,-1,-0.044741545188393905
"1234|1.03.04.001.0001|Maquinas e Equipamentos - FINEP|44858|Vlr.Ref.Baixa Do Imobilizado Oscilloscope; Digital Phosphor, 200 Mhz, 1 Gs/S, 1M Record Length, 2-Ch, Color Display, 5-Year Warranty And Certificate Of Traceable Calibration Standard.|2381|42808|0|5235,3",,,1900-01-01,,,,0.0,0.0,0,1,1900,0.0,-1,-0.044741545188393905
1239,103040020001.0,(-) Maquinas e Equipamentos FINEP,2022-05-02,Vlr.Ref.Depreciao Maquinas E Equipamentos Subvencionados,2396.0,41564.0,0.0,18931.01,0,5,2022,18931.01,-1,-0.01804368523116373
1239,103040020001.0,(-) Maquinas e Equipamentos FINEP,2022-10-26,"Vlr.Ref.Baixa Do Imobilizado Equipamento - Perfilmetro îtico 3D Modelo Talysurf Cci, Marca Taylor Robson, Importado",2396.0,42808.0,189482.55,0.0,2,10,2022,-189482.55,-1,-0.0005331119560236797
"1239|1.03.04.002.0001|(-) Maquinas e Equipamentos FINEP|44858|Vlr.Ref.Baixa Do Imobilizado Aparelho De Ar Condicionado De 22.000 Btu/H, Mod. Split Hi Wall (220V; Frio/Quente;Com Controle Remoto), Marca Springer Carrier + Instalao + Teste De Desempenho.|2396|42808|2743,39|0",,,1900-01-01,,,,0.0,0.0,0,1,1900,0.0,-1,-0.044741545188393905
"1239|1.03.04.002.0001|(-) Maquinas e Equipamentos FINEP|44858|Vlr.Ref.Baixa Do Imobilizado Oscilloscope; Digital Phosphor, 200 Mhz, 1 Gs/S, 1M Record Length, 2-Ch, Color Display, 5-Year Warranty And Certificate Of Traceable Calibration Standard.|2396|42808|4790,85|0",,,1900-01-01,,,,0.0,0.0,0,1,1900,0.0,-1,-0.044741545188393905
1239,103040020001.0,(-) Maquinas e Equipamentos FINEP,2023-01-02,Vlr.Ref.Depreciao Maquinas E Equipamentos Subvencionados,2396.0,43201.0,0.0,13962.0,0,1,2023,13962.0,-1,-0.17504941560008935
1241,103040020003.0,(-) Mveis e Utenslios - FINEP,2022-05-02,Vlr.Ref.Depreciao Mveis E Utenslios,2395.0,41564.0,0.0,12.17,0,5,2022,12.17,-1,-0.005812778465568713
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2022-05-02,Vlr. Ref. Amortizao Sistemas Aplicativos - Software,739.0,41565.0,0.0,1000.96,0,5,2022,1000.96,-1,-0.006574635461913503
3186,103020060006.0,( - )Amort. Sistemas Aplicativos,2023-01-02,Vlr.Ref.Depreciao Sistemas Aplicativos - Software,739.0,43202.0,0.0,1052.81,0,1,2023,1052.81,-1,-0.16605394652421823
6,101010010002.0,Caixa - Aquisio Dlar,2023-01-01,"Vlr. Ref. Atual. Monet. Debito Variao Cambial Taxa 5,2177 30/12/2022",373.0,43197.0,0.0,76.04,6,1,2023,76.04,-1,-0.10544456004600167
692,101010010003.0,Caixa Euro,2023-01-01,"Vlr. Ref. Atual. Monet. Credito Variao Cambial Taxa 5,5694 Euros",367.0,43197.0,7.78,0.0,6,1,2023,-7.78,-1,-0.10490377220196545
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,"Vlr. Ref. Liq. Nf/Fat. N. 42578-E01, Copel Geracao E Transmissao S/A",,40834.0,214249.17,0.0,2,1,2022,-214249.17,-1,-0.03488753481301721
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,"Vlr. Ref. Liq. Nf/Fat. N. 42586-E01, Copel Geracao E Transmissao S/A",,40834.0,108269.6,0.0,2,1,2022,-108269.6,-1,-8.590717400902559e-05
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,Vlr. Ref. Ted Para 1642-0,,40894.0,0.0,653000.0,2,1,2022,653000.0,-1,-0.10614497077460505
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,Vlr. Ref. Resgate,,40894.0,211360.55,0.0,2,1,2022,-211360.55,-1,-0.03488753481301721
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,Vlr. Ref. Resgate,,40894.0,307344.41,0.0,2,1,2022,-307344.41,-1,-0.0648657109651295
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-05,Pagamento A Fornecedor,,40965.0,0.0,430517.27,2,1,2022,430517.27,-1,-0.09061228570908997
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-07,Pagamento A Fornecedor,,40969.0,0.0,340601.85,4,1,2022,340601.85,-1,-0.0746520774236028
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-09,"Vlr. Ref. Liq. Nf/Fat. N. 42651-E01, Copel Distribuicao S/A",,40839.0,120849.24,0.0,6,1,2022,-120849.24,-1,-0.041469377048656164
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-09,"Vlr. Ref. Liq. Nf/Fat. N. 42652-E01, Copel Distribuicao S/A",,40839.0,74910.0,0.0,6,1,2022,-74910.0,-1,-0.01615897383935161
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-09,"Vlr. Ref. Liq. Nf/Fat. N. 42653-E01, Copel Distribuicao S/A",,40839.0,50965.17,0.0,6,1,2022,-50965.17,-1,-0.004942346839411416
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-09,Vlr. Ref. Aplicacao,,40902.0,0.0,304845.01,6,1,2022,304845.01,-1,-0.07100724952194526
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-12,Vlr. Ref. Transf P/ 1642-0,,40904.0,0.0,250000.0,2,1,2022,250000.0,-1,-0.05317769651089199
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-12,Vlr. Ref. Resgate,,40904.0,238140.58,0.0,2,1,2022,-238140.58,-1,-0.04938471616907991
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-13,Vlr. Ref. Rf Lp Corp Cpri,,40906.0,0.0,400000.0,3,1,2022,400000.0,-1,-0.0857948974684325
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-13,Vlr. Ref. Resgate,,40906.0,451796.28,0.0,3,1,2022,-451796.28,-1,-0.08309916699531339
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-16,"Vlr. Ref. Liq. Nf/Fat. N. 42526-E01, Nissan Do Brasil Automoveis Ltda",,40845.0,173953.0,0.0,6,1,2022,-173953.0,-1,-0.06962653511862338
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-16,"Vlr. Ref. Liq. Nf/Fat. N. 42765-E01, Copel Distribuicao S/A",,40845.0,114193.17,0.0,6,1,2022,-114193.17,-1,-0.039852383738961605
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-16,"Vlr. Ref. Liq. Nf/Fat. N. 42774-E01, Copel Distribuicao S/A",,40845.0,53076.21,0.0,6,1,2022,-53076.21,-1,-0.006438806795135421
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-16,Vlr. Ref. Rf Autom Empres,,40912.0,0.0,385458.43,6,1,2022,385458.43,-1,-0.09028723746072986
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-19,"Vlr. Ref. Liq. Nf/Fat. N. 42772-E01, Copel Geracao E Transmissao S/A",,40846.0,123873.1,0.0,2,1,2022,-123873.1,-1,-0.00634520058486554
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-19,"Vlr. Ref. Liq. Nf/Fat. N. 42780-E01, Copel Distribuicao S/A",,40846.0,185400.18,0.0,2,1,2022,-185400.18,-1,-0.02383002669716483
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-19,Vlr. Ref. Transf Para 72203-3,3056.0,40915.0,0.0,103000.0,2,1,2022,103000.0,-1,-0.006194571468253751
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-19,Vlr. Ref. Rf Lp Corp Cpri,,40915.0,0.0,1400000.0,2,1,2022,1400000.0,-1,-0.12254897243874008
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-19,Vlr. Ref. Resgate,,40915.0,390172.05,0.0,2,1,2022,-390172.05,-1,-0.07675548425947787
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-21,"Vlr. Ref. Liq. Nf/Fat. N. 42861-E01, Copel Geracao E Transmissao S/A",,40848.0,117213.93,0.0,4,1,2022,-117213.93,-1,-0.009593431087562498
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-21,"Vlr. Ref. Liq. Nf/Fat. N. 42863-E01, Copel Geracao E Transmissao S/A",,40848.0,150623.16,0.0,4,1,2022,-150623.16,-1,-0.023469906756954262
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-21,Vlr. Ref. Rf Autom Empres,,40919.0,0.0,424209.9,4,1,2022,424209.9,-1,-0.08580455665353737
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-22,Vlr. Ref. Ted,,40921.0,0.0,1600000.0,5,1,2022,1600000.0,-1,-0.13563168920591062
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-22,Vlr. Ref. Resgate,,40921.0,1171025.57,0.0,5,1,2022,-1171025.57,-1,-0.1149214378593949
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-26,Vlr. Ref. Transf Para 1642-0,,40925.0,0.0,90000.0,2,1,2022,90000.0,-1,-0.002992896369930609
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-26,Vlr. Ref. Rf Autom Empres,,40925.0,0.0,357786.72,2,1,2022,357786.72,-1,-0.0826855527651611
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-27,Vlr. Ref. Ted,,40927.0,0.0,380000.0,3,1,2022,380000.0,-1,-0.0849259142782508
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-27,Vlr. Ref. Resgate,,40927.0,372720.61,0.0,3,1,2022,-372720.61,-1,-0.07187827244748612
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-01-30,Vlr. Ref. Resgate,,40933.0,49644.75,0.0,6,1,2022,-49644.75,-1,-0.004562393486362448
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-02,Vlr. Ref. Ted Para 1642-0,,40935.0,0.0,1594000.0,2,2,2022,1594000.0,-1,-0.12510127061315057
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-02,Vlr. Ref. Aplicao,,40935.0,0.0,788000.0,2,2,2022,788000.0,-1,-0.11026844230368371
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-02,Vlr. Ref. Resgate,,40935.0,2400000.0,0.0,2,2,2022,-2400000.0,-1,-0.12155245643671497
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-03,Pagamento A Fornecedor,,41099.0,0.0,504543.54,3,2,2022,504543.54,-1,-0.0801675610225
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-03,Vlr. Ref. Ted Para 1642-0,,41132.0,0.0,485000.0,3,2,2022,485000.0,-1,-0.0801675610225
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-03,Vlr. Ref. Resgate,,41132.0,500000.0,0.0,3,2,2022,-500000.0,-1,-0.07421894882430402
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-03,Vlr. Ref. Resgate,,41132.0,449950.28,0.0,3,2,2022,-449950.28,-1,-0.06911624930630511
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-04,Vlr. Ref. Resgate,,41134.0,142582.42,0.0,4,2,2022,-142582.42,-1,-0.003510700401667677
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-05,Vlr. Ref. Ted Para 1642-0,,41136.0,0.0,203000.0,5,2,2022,203000.0,-1,-0.01889789548314036
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-05,Vlr. Ref. Resgate,,41136.0,222360.37,0.0,5,2,2022,-222360.37,-1,-0.026085462891098476
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-09,Pagamento A Fornecedor,,41107.0,0.0,334586.94,2,2,2022,334586.94,-1,-0.07077375520998697
8,101010020001.0,Banco do Brasil - c/c 262.108-8,2022-02-09,Vlr. Ref. Ted Para 1642-0,,41140.0,0.0,261000.0,2,2,2022,261000.0,-1,-0.05289517858414139
