TransactionID;TransactionDate;Amount;TransactionType;AccountType
1;2022-12-03;685;Deposit;Checking
2;2022-06-27;560;Deposit;Checking
3;2022-05-11;630;Deposit;Savings
4;2022-11-03;5734;Deposit;Savings
5;2022-05-06;836;Withdrawal;Savings
6;2022-03-03;764;Withdrawal;Checking
7;2022-03-18;708;Withdrawal;Checking
8;2022-01-17;360;Deposit;Savings
9;2022-05-19;10;Withdrawal;Checking
10;2022-12-24;8023;Withdrawal;Savings
11;2022-07-03;278;Withdrawal;Savings
12;2022-01-02;755;Deposit;Savings
13;2022-08-18;805;Deposit;Checking
14;2022-03-14;600;Withdrawal;Checking
15;2022-12-05;71;Withdrawal;Checking
16;2022-11-27;473;Withdrawal;Savings
17;2022-09-13;601;Deposit;Checking
18;2022-08-04;397;Deposit;Checking
19;2022-04-30;315;Deposit;Checking
20;2022-03-14;706;Withdrawal;Checking
21;2022-07-04;487;Deposit;Savings
22;2022-07-03;552;Withdrawal;Savings
23;2022-09-01;88;Withdrawal;Checking
24;2022-03-09;175;Withdrawal;Savings
25;2022-08-14;601;Deposit;Checking
26;2022-09-30;850;Deposit;Checking
27;2022-11-01;678;Deposit;Savings
28;2022-05-18;538;Withdrawal;Savings
29;2022-04-17;846;Withdrawal;Savings
30;2022-11-07;73;Withdrawal;Checking
31;2022-02-05;778;Deposit;Checking
32;2022-05-26;917;Deposit;Checking
33;2022-11-14;116;Withdrawal;Checking
34;2022-01-01;977;Deposit;Checking
35;2022-11-28;756;Withdrawal;Checking
36;2022-05-22;7605;Withdrawal;Checking
37;2022-05-16;848;Withdrawal;Savings
38;2022-07-01;432;Deposit;Savings
39;2022-09-12;449;Withdrawal;Checking
40;2022-02-28;851;Withdrawal;Checking
41;2022-12-25;100;Deposit;Checking
42;2022-11-15;985;Withdrawal;Checking
43;2022-07-08;178;Deposit;Savings
44;2022-02-17;756;Deposit;Savings
45;2022-07-16;798;Withdrawal;Checking
46;2022-11-26;660;Deposit;Checking
47;2022-11-08;148;Deposit;Savings
48;2022-03-01;911;Withdrawal;Checking
49;2022-11-10;424;Withdrawal;Savings
